"","b_year","borough","date","count","C_Year","C_Month","C_Day","population"
"238","QUEENS_2018","QUEENS",2018-01-01,70,2018,1,1,2298513
"303","STATEN_ISLAND_2018","STATEN ISLAND",2018-01-01,16,2018,1,1,474101
"44","BRONX_2018","BRONX",2018-02-01,79,2018,2,1,1437872
"109","BROOKLYN_2018","BROOKLYN",2018-02-01,132,2018,2,1,2600747
"174","MANHATTAN_2018","MANHATTAN",2018-02-01,92,2018,2,1,1632480
"239","QUEENS_2018","QUEENS",2018-02-01,45,2018,2,1,2298513
"304","STATEN_ISLAND_2018","STATEN ISLAND",2018-02-01,8,2018,2,1,474101
"45","BRONX_2018","BRONX",2018-03-01,111,2018,3,1,1437872
"110","BROOKLYN_2018","BROOKLYN",2018-03-01,140,2018,3,1,2600747
"175","MANHATTAN_2018","MANHATTAN",2018-03-01,103,2018,3,1,1632480
"240","QUEENS_2018","QUEENS",2018-03-01,65,2018,3,1,2298513
"305","STATEN_ISLAND_2018","STATEN ISLAND",2018-03-01,11,2018,3,1,474101
"46","BRONX_2018","BRONX",2018-04-01,113,2018,4,1,1437872
"111","BROOKLYN_2018","BROOKLYN",2018-04-01,143,2018,4,1,2600747
"176","MANHATTAN_2018","MANHATTAN",2018-04-01,105,2018,4,1,1632480
"241","QUEENS_2018","QUEENS",2018-04-01,79,2018,4,1,2298513
"306","STATEN_ISLAND_2018","STATEN ISLAND",2018-04-01,10,2018,4,1,474101
"47","BRONX_2018","BRONX",2018-05-01,153,2018,5,1,1437872
"112","BROOKLYN_2018","BROOKLYN",2018-05-01,184,2018,5,1,2600747
"177","MANHATTAN_2018","MANHATTAN",2018-05-01,117,2018,5,1,1632480
"242","QUEENS_2018","QUEENS",2018-05-01,84,2018,5,1,2298513
"307","STATEN_ISLAND_2018","STATEN ISLAND",2018-05-01,21,2018,5,1,474101
"48","BRONX_2018","BRONX",2018-06-01,157,2018,6,1,1437872
"113","BROOKLYN_2018","BROOKLYN",2018-06-01,218,2018,6,1,2600747
"178","MANHATTAN_2018","MANHATTAN",2018-06-01,134,2018,6,1,1632480
"243","QUEENS_2018","QUEENS",2018-06-01,84,2018,6,1,2298513
"308","STATEN_ISLAND_2018","STATEN ISLAND",2018-06-01,6,2018,6,1,474101
"49","BRONX_2018","BRONX",2018-07-01,175,2018,7,1,1437872
"114","BROOKLYN_2018","BROOKLYN",2018-07-01,261,2018,7,1,2600747
"179","MANHATTAN_2018","MANHATTAN",2018-07-01,148,2018,7,1,1632480
"244","QUEENS_2018","QUEENS",2018-07-01,149,2018,7,1,2298513
"309","STATEN_ISLAND_2018","STATEN ISLAND",2018-07-01,10,2018,7,1,474101
"50","BRONX_2018","BRONX",2018-08-01,195,2018,8,1,1437872
"115","BROOKLYN_2018","BROOKLYN",2018-08-01,255,2018,8,1,2600747
"180","MANHATTAN_2018","MANHATTAN",2018-08-01,155,2018,8,1,1632480
"245","QUEENS_2018","QUEENS",2018-08-01,120,2018,8,1,2298513
"310","STATEN_ISLAND_2018","STATEN ISLAND",2018-08-01,20,2018,8,1,474101
"51","BRONX_2018","BRONX",2018-09-01,134,2018,9,1,1437872
"116","BROOKLYN_2018","BROOKLYN",2018-09-01,202,2018,9,1,2600747
"181","MANHATTAN_2018","MANHATTAN",2018-09-01,136,2018,9,1,1632480
"246","QUEENS_2018","QUEENS",2018-09-01,112,2018,9,1,2298513
"311","STATEN_ISLAND_2018","STATEN ISLAND",2018-09-01,21,2018,9,1,474101
"52","BRONX_2018","BRONX",2018-10-01,143,2018,10,1,1437872
"117","BROOKLYN_2018","BROOKLYN",2018-10-01,220,2018,10,1,2600747
"182","MANHATTAN_2018","MANHATTAN",2018-10-01,167,2018,10,1,1632480
"247","QUEENS_2018","QUEENS",2018-10-01,90,2018,10,1,2298513
"312","STATEN_ISLAND_2018","STATEN ISLAND",2018-10-01,18,2018,10,1,474101
"53","BRONX_2018","BRONX",2018-11-01,98,2018,11,1,1437872
"118","BROOKLYN_2018","BROOKLYN",2018-11-01,136,2018,11,1,2600747
"183","MANHATTAN_2018","MANHATTAN",2018-11-01,125,2018,11,1,1632480
"248","QUEENS_2018","QUEENS",2018-11-01,72,2018,11,1,2298513
"313","STATEN_ISLAND_2018","STATEN ISLAND",2018-11-01,8,2018,11,1,474101
"54","BRONX_2018","BRONX",2018-12-01,84,2018,12,1,1437872
"119","BROOKLYN_2018","BROOKLYN",2018-12-01,132,2018,12,1,2600747
"184","MANHATTAN_2018","MANHATTAN",2018-12-01,65,2018,12,1,1632480
"249","QUEENS_2018","QUEENS",2018-12-01,62,2018,12,1,2298513
"314","STATEN_ISLAND_2018","STATEN ISLAND",2018-12-01,14,2018,12,1,474101
"55","BRONX_2019","BRONX",2019-01-01,99,2019,1,1,1432132
"120","BROOKLYN_2019","BROOKLYN",2019-01-01,164,2019,1,1,2582830
"185","MANHATTAN_2019","MANHATTAN",2019-01-01,86,2019,1,1,1628701
"250","QUEENS_2019","QUEENS",2019-01-01,63,2019,1,1,2278906
"315","STATEN_ISLAND_2019","STATEN ISLAND",2019-01-01,9,2019,1,1,476179
"56","BRONX_2019","BRONX",2019-02-01,71,2019,2,1,1432132
"121","BROOKLYN_2019","BROOKLYN",2019-02-01,115,2019,2,1,2582830
"186","MANHATTAN_2019","MANHATTAN",2019-02-01,81,2019,2,1,1628701
"251","QUEENS_2019","QUEENS",2019-02-01,64,2019,2,1,2278906
"316","STATEN_ISLAND_2019","STATEN ISLAND",2019-02-01,9,2019,2,1,476179
"57","BRONX_2019","BRONX",2019-03-01,72,2019,3,1,1432132
"122","BROOKLYN_2019","BROOKLYN",2019-03-01,111,2019,3,1,2582830
"187","MANHATTAN_2019","MANHATTAN",2019-03-01,89,2019,3,1,1628701
"252","QUEENS_2019","QUEENS",2019-03-01,75,2019,3,1,2278906
"317","STATEN_ISLAND_2019","STATEN ISLAND",2019-03-01,3,2019,3,1,476179
"58","BRONX_2019","BRONX",2019-04-01,85,2019,4,1,1432132
"123","BROOKLYN_2019","BROOKLYN",2019-04-01,110,2019,4,1,2582830
"188","MANHATTAN_2019","MANHATTAN",2019-04-01,89,2019,4,1,1628701
"253","QUEENS_2019","QUEENS",2019-04-01,82,2019,4,1,2278906
"318","STATEN_ISLAND_2019","STATEN ISLAND",2019-04-01,8,2019,4,1,476179
"59","BRONX_2019","BRONX",2019-05-01,130,2019,5,1,1432132
"124","BROOKLYN_2019","BROOKLYN",2019-05-01,119,2019,5,1,2582830
"189","MANHATTAN_2019","MANHATTAN",2019-05-01,78,2019,5,1,1628701
"254","QUEENS_2019","QUEENS",2019-05-01,59,2019,5,1,2278906
"319","STATEN_ISLAND_2019","STATEN ISLAND",2019-05-01,8,2019,5,1,476179
"60","BRONX_2019","BRONX",2019-06-01,140,2019,6,1,1432132
"125","BROOKLYN_2019","BROOKLYN",2019-06-01,170,2019,6,1,2582830
"190","MANHATTAN_2019","MANHATTAN",2019-06-01,104,2019,6,1,1628701
"255","QUEENS_2019","QUEENS",2019-06-01,89,2019,6,1,2278906
"320","STATEN_ISLAND_2019","STATEN ISLAND",2019-06-01,8,2019,6,1,476179
"61","BRONX_2019","BRONX",2019-07-01,150,2019,7,1,1432132
"126","BROOKLYN_2019","BROOKLYN",2019-07-01,177,2019,7,1,2582830
"191","MANHATTAN_2019","MANHATTAN",2019-07-01,130,2019,7,1,1628701
"256","QUEENS_2019","QUEENS",2019-07-01,103,2019,7,1,2278906
"321","STATEN_ISLAND_2019","STATEN ISLAND",2019-07-01,7,2019,7,1,476179
"62","BRONX_2019","BRONX",2019-08-01,159,2019,8,1,1432132
"127","BROOKLYN_2019","BROOKLYN",2019-08-01,151,2019,8,1,2582830
"192","MANHATTAN_2019","MANHATTAN",2019-08-01,109,2019,8,1,1628701
"257","QUEENS_2019","QUEENS",2019-08-01,86,2019,8,1,2278906
